 
Conta de: caatinga01
751_1997_2011_c1  |  READY  |  R3T2VXOPMWPSPEYE3FN3H2BS
751_1997_2010_c1  |  READY  |  AWP7DBJT2PWC2SI5PVLAI3BP
751_1997_2009_c1  |  READY  |  7VE5CGGDLDSP25DEVTWQZW4J
751_1997_2008_c1  |  READY  |  YKT6JKTGMT4NUBIINZDAT5JY
751_1997_2007_c1  |  READY  |  7LMGCLJ5UI4AZKUCCBF6ADYA
751_1997_2006_c1  |  READY  |  KACEBM2DNMQHM3AQEEBRRMEV
Conta de: caatinga02
756_655_2023_c1  |  READY  |  NIRFY7CAGNQABAZJIUGFYSYJ
756_655_2022_c1  |  READY  |  A73LSVVXLAX3BVSPVMOPLD4X
756_655_2021_c1  |  READY  |  D5X3Q3X5IWMUKT3LXVRXM2LF
756_655_2020_c1  |  READY  |  365YJ5RM44HZUADYBXEV2EY3
756_655_2019_c1  |  READY  |  SN6RULIKVJBSOOQHKQO7I2P4
756_655_2018_c1  |  READY  |  3SOVGG47PNFXACNUBZ2REJJT
756_655_2017_c1  |  READY  |  EFCVSSORDOIGFDWJR25VQJ2H
756_655_2016_c1  |  READY  |  JKUVQSX2ROHCVCE6FDMNVMMK
756_655_2015_c1  |  READY  |  VCG3CGC4PTND6KJV4XW5P2NW
756_655_2014_c1  |  READY  |  FCIK36SJEXYZQAUWGLIRWMNQ
756_655_2013_c1  |  READY  |  TLM32SRMHJROQBODKXNP4YF2
756_655_2012_c1  |  READY  |  2ZN5X6HCIROHR2YNE2O6X6BH
756_655_2011_c1  |  READY  |  HIFNSGJFOMONGFXOJI73GQ2A
756_655_2010_c1  |  READY  |  W6J5F6G7Z3GVH2LHFN3TGIH2
756_655_2009_c1  |  READY  |  SNYGR5ZOLEK5TU5EQFJGFQ52
756_655_2008_c1  |  READY  |  C3LCYSMGBIE3PIBZ7QCP6XIH
756_655_2007_c1  |  READY  |  DOOOQR25VAPENR2W53STISWN
756_655_2006_c1  |  READY  |  IGS7GRRVEQLWTBYXN53P6BTJ
Conta de: caatinga03
766_83_c1  |  FAILED  |  37C7EXLQIB63TO3R3ZZDHQGJ
766_82_c1  |  FAILED  |  57AKEA45SRJK642HDCFPTYCJ
766_81_c1  |  FAILED  |  ORG7NI7HUJDR2PZRVXK57XJM
766_80_c1  |  FAILED  |  WYJXUUTHYABI47PLZWZQMYPU
766_79_c1  |  FAILED  |  IOCWFBLP7XBXN22LPYNOQDQZ
766_78_c1  |  FAILED  |  NOTXBYGV3ERO4UPNIA5L32LI
766_77_c1  |  FAILED  |  OFVGCAC6S7BZYSYDROVE6NQG
766_76_c1  |  FAILED  |  57UDOKMAZ2RMBNZ4FD6S465M
766_75_c1  |  FAILED  |  UTM2P4OM77O4XBW2SQGJG73Y
765_74_c1  |  FAILED  |  O2QRTWAVHB7UNRKPZXFMGDQD
765_73_c1  |  FAILED  |  NSKBD7NX6UK2VTYRFJPGFRJL
765_72_c1  |  FAILED  |  KODHN5AF7ZAQ355Z24QYFMQW
765_71_c1  |  FAILED  |  CC4GDKB62Z23UD2VVEW6DBMX
765_70_c1  |  FAILED  |  ESKPY4VJG6SEQ6QCAQHRRJDP
765_69_c1  |  FAILED  |  2QY6Q42LJCHSCUIONE7XVYJ2
765_68_c1  |  FAILED  |  TGFZ2HZ4XLZ2VRZT5MVPPSTJ
765_67_c1  |  FAILED  |  JFHBORUVIHVWNVYYYRS4AD6Q
765_66_c1  |  FAILED  |  4JZJN27LUKELX23B2Z6PLKLA
Conta de: caatinga04
775_158_c1  |  FAILED  |  YWJBN6442O2MX7KJE6A4J565
775_157_c1  |  FAILED  |  XFSTYBJLWTP65ZM4QJ4YIBUN
775_156_c1  |  FAILED  |  3Z6Z6AQ677ZTC6D4GFWAWWXR
775_155_c1  |  FAILED  |  VLB5ATWGLOOMBEBQMOX5OU3B
775_154_c1  |  FAILED  |  HDH6KYUHQXBP6HZHP3WK3RQ2
775_152_c1  |  FAILED  |  D5ZNFPVXWW3HG6Q6U7E4MKRG
775_151_c1  |  FAILED  |  TMB6XIO4YY2GNQJ32X2D3JZP
775_150_c1  |  COMPLETED  |  TXFUMGQT5J5UQMG2HWUVNVK3
7742_145_c1  |  FAILED  |  IYXGBCDZ26A3FMWJJJOFOV2F
7742_144_c1  |  FAILED  |  UDKT7QMKNU4NBHIXGAULE3HI
7742_143_c1  |  FAILED  |  SSEKDV5F25PZ5UMOIODA6V3N
7742_141_c1  |  COMPLETED  |  O4Q4EHJAYYRBAQU557H4ERXZ
7741_153_c1  |  FAILED  |  7YLEQOFAO55OMJUEFBCYZCJ3
7741_149_c1  |  FAILED  |  MZGAUUIBBL3RFVYY4GZHOH6K
7741_148_c1  |  FAILED  |  M3QVJEYNENMQ5YN47DFHISCH
